"Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..Classical.","Frequency..Country.","Frequency..EDM.","Frequency..Folk.","Frequency..Gospel.","Frequency..Hip.hop.","Frequency..Jazz.","Frequency..K.pop.","Frequency..Latin.","Frequency..Lofi.","Frequency..Metal.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Frequency..Video.game.music.","Anxiety","Depression","Insomnia","OCD","Music.effects"
20,"Spotify",4,"Yes","No","No","EDM","Yes","No",161,"2","2","4","3","2","3","2","3","1","3","2","4","4","3","4","2",7,2,8,6,"Improve"
23,"YouTube Music",2,"Yes","Yes","Yes","Video game music","Yes","No",80,"3","2","1","2","3","1","3","2","2","2","2","3","3","2","3","4",4,2,3,4,"Improve"
18,"Spotify",5,"Yes","Yes","No","Rock","Yes","No",130,"4","1","1","3","1","3","3","2","1","3","4","3","2","3","4","3",7,6,5,0,"Improve"
37,"YouTube Music",0.25,"No","No","No","Video game music","Yes","No",147,"4","2","1","2","1","2","3","1","2","1","1","4","3","1","3","3",3,2,10,0,"No effect"
17,"Spotify",3,"Yes","No","No","Classical","Yes","Yes",120,"4","1","4","1","1","4","3","3","2","3","1","3","4","4","2","3",6,6,8,2,"Improve"
18,"Spotify",4,"Yes","No","No","Metal","Yes","Yes",77,"2","1","1","1","1","4","2","1","1","1","4","3","3","4","4","4",1,0,8,2,"No effect"
17,"I do not use a streaming service.",1,"Yes","Yes","Yes","Folk","No","No",118,"1","3","2","4","1","2","1","1","2","2","2","2","2","3","3","3",7,3,1,5,"Improve"
36,"Spotify",1,"No","Yes","Yes","Classical","No","No",132,"4","3","1","2","1","1","1","1","1","1","3","2","1","1","3","1",8,9,3,0,"No effect"
24,"Spotify",3,"Yes","No","No","Rock","Yes","Yes",115,"2","1","2","3","1","1","1","2","1","4","2","3","1","1","4","3",9,6,4,3,"Improve"
18,"Spotify",5,"Yes","No","Yes","Metal","Yes","Yes",157,"1","1","2","2","1","4","2","1","2","2","4","3","2","4","4","1",7,9,5,0,"Improve"
19,"Spotify",3,"Yes","No","No","Pop","No","Yes",90,"3","2","3","1","1","4","3","2","1","3","2","4","3","3","3","3",7,4,2,4,"No effect"
17,"Apple Music",2,"Yes","Yes","No","EDM","Yes","No",128,"1","2","4","1","1","2","1","1","2","2","4","3","3","3","4","2",0,0,0,0,"Improve"
16,"Spotify",6,"Yes","No","No","K pop","Yes","Yes",169,"2","1","1","2","3","4","2","4","4","4","1","3","4","4","2","1",7,8,7,5,"Improve"
23,"Apple Music",1,"No","No","No","Rap","No","Yes",140,"3","2","3","2","1","4","4","1","1","1","3","2","2","4","4","2",10,6,3,10,"No effect"
23,"Spotify",12,"Yes","No","No","Pop","Yes","Yes",96,"4","2","1","4","1","2","3","2","2","2","1","4","3","2","2","1",3,7,5,5,"No effect"
22,"Spotify",4,"Yes","No","Yes","Rock","Yes","Yes",126,"2","1","2","3","1","2","2","1","1","2","3","4","3","2","4","2",8,7,4,3,"Improve"
16,"Apple Music",2,"Yes","Yes","No","Classical","Yes","No",119.277554484215,"4","1","1","1","1","2","3","1","1","1","1","2","2","2","3","2",0,0,1,3,"Improve"
18,"Spotify",6,"Yes","No","No","Rock","Yes","No",91,"2","1","1","2","1","1","1","1","1","1","4","2","1","3","4","1",8,6,2,10,"No effect"
23,"Spotify",7,"Yes","No","No","Folk","Yes","Yes",55,"2","4","1","4","4","3","2","1","2","1","3","3","2","2","2","3",6,4,2,3,"Improve"
23,"I do not use a streaming service.",1,"Yes","Yes","No","Video game music","No","No",85,"3","3","3","2","1","2","3","2","2","4","1","3","4","2","3","4",7,0,0,2,"Improve"
19,"YouTube Music",1,"No","Yes","No","K pop","Yes","Yes",160,"1","1","1","1","1","1","3","4","1","1","1","1","1","1","1","2",10,1,0,0,"Improve"
22,"Pandora",1,"No","Yes","No","Rock","Yes","No",108,"2","1","3","2","1","1","4","1","1","1","1","3","2","1","4","2",8,7,0,5,"Improve"
15,"Other streaming service",2,"Yes","Yes","No","Rock","No","No",156,"1","1","2","2","1","1","1","1","1","2","3","3","1","1","4","3",3,2,6,7,"Improve"
25,"Spotify",2,"No","No","No","Metal","No","Yes",170,"2","2","2","3","1","2","1","2","1","2","4","3","1","2","4","4",5,5,3,1,"No effect"
32,"Spotify",5,"Yes","No","No","Rock","No","Yes",91,"3","1","2","3","1","3","2","2","1","1","4","4","4","2","4","1",10,10,3,1,"Worsen"
36,"Spotify",6,"Yes","No","No","Metal","Yes","Yes",174,"4","1","2","4","1","1","1","3","1","2","4","2","1","1","3","4",5,4,10,2,"Improve"
24,"Spotify",3,"No","No","No","Rock","Yes","Yes",130,"3","3","1","2","1","1","2","1","2","1","4","4","1","1","4","1",0,0,8,0,"No effect"
29,"Spotify",4,"No","No","No","Hip hop","Yes","No",140,"2","3","2","1","2","4","2","2","2","2","1","3","3","3","3","1",8,8,5,10,"Improve"
41,"Apple Music",3,"Yes","Yes","Yes","Metal","Yes","Yes",130,"3","1","3","1","1","2","2","1","1","3","3","3","1","2","2","1",10,7,8,0,"Improve"
36,"I do not use a streaming service.",2,"Yes","Yes","Yes","Rock","Yes","No",127,"3","2","4","3","2","2","4","1","1","1","4","3","2","2","4","3",7,3,1,1,"Improve"
19,"YouTube Music",3,"Yes","No","No","Rock","Yes","No",160,"2","3","3","2","1","3","2","1","3","3","3","3","4","4","4","2",8,7,4,0,"Improve"
31,"Spotify",2,"Yes","No","No","Rock","Yes","Yes",126.971556728502,"1","3","1","2","3","1","3","2","1","1","3","4","1","1","4","1",10,2,0,5,"No effect"
16,"Spotify",4,"Yes","No","No","Rock","No","Yes",134.20110329619,"3","2","2","3","1","2","2","2","2","3","3","4","2","2","4","4",9,8,1,2,"Improve"
26,"Spotify",2,"Yes","Yes","Yes","Hip hop","Yes","Yes",165,"2","2","4","2","2","4","2","2","2","2","2","3","2","4","4","2",6,3,1,1,"Improve"
22,"Apple Music",0.5,"No","No","No","Hip hop","No","No",113,"3","1","1","1","1","4","2","1","2","1","1","3","3","4","1","1",7,7,0,1,"No effect"
16,"Spotify",5,"Yes","Yes","Yes","Jazz","Yes","Yes",167,"3","2","1","1","2","2","4","4","2","1","1","4","2","4","3","1",7,7,8,4,"Improve"
17,"Spotify",5,"Yes","No","No","Metal","Yes","Yes",95,"1","3","2","2","1","1","1","1","1","1","4","2","1","1","4","3",4,1,0,0,"Improve"
19,"Spotify",10,"Yes","No","No","R&B","Yes","Yes",110,"1","2","4","1","1","3","1","4","1","1","1","2","4","2","1","1",7,2,1,5,"Improve"
18,"YouTube Music",2,"No","No","No","EDM","No","Yes",150,"3","2","4","1","2","2","2","1","1","3","1","4","2","3","2","4",9,0,5,10,"Improve"
18,"YouTube Music",4,"Yes","No","No","Hip hop","Yes","Yes",93,"1","1","2","1","1","4","3","3","2","3","1","4","4","4","3","2",2,7,1,1,"Improve"
